Z,N,A,delta_E,movement,stable,boundary_hit,success
19,25,44,303.53755766076574,7.645496452561076,True,True,False
19,26,45,284.42274271827046,9.625532562481077,True,True,False
18,51,69,431.50237300640583,8.308209357245936,True,True,False
19,27,46,313.2349898003995,7.9625462927068575,True,True,False
18,52,70,436.16637185028594,8.623049642078298,True,True,False
19,28,47,318.7223829683535,8.231810752386586,True,True,False
19,29,48,315.58763680238553,7.0554844263594525,True,True,False
18,53,71,426.8181603024859,8.626820523263842,True,True,False
19,30,49,305.9403995007815,8.702124880713553,True,True,False
18,54,72,443.8526796052174,9.642861041603183,True,True,False
19,31,50,327.0428694909897,8.090371409532581,True,True,False
19,32,51,309.87208828452276,10.379137104887606,True,True,False
19,33,52,318.9645914947687,10.610008620360214,True,True,False
19,34,53,351.6771350002018,7.046183027122608,True,True,False
19,35,54,319.6032145561294,11.27271067343911,True,True,False
19,36,55,370.53821503411746,9.755986327064779,True,True,False
19,37,56,366.23838462798085,9.114315572217828,True,True,False
19,38,57,359.31195223958275,8.10959294900715,True,True,False
19,39,58,374.3810528869981,7.731050459543038,True,True,False
19,40,59,387.74197994582937,8.182800090826456,True,True,False
19,41,60,369.039895887272,8.233167599588642,True,True,False
19,42,61,366.3092414982566,10.355861940460859,True,True,False
19,43,62,358.96306993510007,8.816008620449502,True,True,False
19,44,63,408.02606409008513,9.482938297631735,True,True,False
19,45,64,396.7857004745856,9.430377126350871,True,True,False
19,46,65,394.21161337374724,10.77453249338987,True,True,False
19,47,66,447.2676693594767,7.2039364201173814,True,True,False
20,20,40,260.92249604534663,10.926906217794276,True,True,False
19,48,67,442.9788475149908,7.584526507463731,True,True,False
19,49,68,442.046043482962,6.606507369975874,True,True,False
20,21,41,265.81835832800425,10.121237740111662,True,True,False
20,22,42,291.8457358881751,6.802631286113424,True,True,False
19,50,69,426.6960889986549,8.357228324977566,True,True,False
20,23,43,280.1136430557017,7.671330950398817,True,True,False
19,51,70,425.9466178603143,8.943474529134695,True,True,False
20,24,44,289.6810179147433,8.88993218436001,True,True,False
19,52,71,482.8346093305081,7.451762788503572,True,True,False
20,25,45,309.8929141111694,6.712320290615246,True,True,False
20,26,46,316.6643316097616,9.637564761894106,True,True,False
19,53,72,450.5644916725505,8.677141464386853,True,True,False
20,27,47,299.61268117779036,7.271365974072201,True,True,False
19,54,73,452.1621941884878,8.178967847852165,True,True,False
19,55,74,476.1329634681315,7.151489145993746,True,True,False
20,28,48,308.9143037689937,8.16480100967731,True,True,False
20,29,49,323.53187229967807,9.907916718110792,True,True,False
19,56,75,473.4893922103438,7.939299985531363,True,True,False
20,30,50,319.7915931636089,9.29817429907726,True,True,False
20,31,51,345.50294851310537,7.192699107688297,True,True,False
19,57,76,504.1788857124993,7.127185597070928,True,True,False
20,32,52,343.1872214123068,9.315354500897733,True,True,False
